Individual	Family	Age	Start	Start_lat	End	End_lat	Weight	Instar	Instar_edit																										
NG 2.3	2	19	N	U	G	R	NA 	5	i5																										
NG 2.3	2	20	N	U	G	R	219	5	as																										
NG 2.3	2	21	N	U	G	R	NA	5	as																										
NG 2.3	2	22	N	U	G	R	NA	5	as																										
NG 2.3	2	23	N	U	G	R	352	5	as																										
NG 2.3	2	24	N	U	G	R	NA	5	as																										
NG 2.3	2	25	N	U	G	R	NA	5	as																										
NG 2.3	2	P	N	U	G	R	288	P	P																										
NG 3.1	3	1	N	U	G	R	0.253	i	i																										
NG 3.1	3	2	N	U	G	R	0.486	i	i																										
NG 3.1	3	3	N	U	G	R	1.007	i	i																										
NG 3.1	3	4	N	U	G	R	1.79	i	i																										
NG 3.1	3	5	N	U	G	R	1.719	i	i																										
NG 3.1	3	6	N	U	G	R	2.068	i	i																										
NG 3.1	3	7	N	U	G	R	4.438	i	i																										
NG 3.1	3	8	N	U	G	R	NA	i	i																										
NG 3.1	3	9	N	U	G	R	NA	i	i																										
NG 3.1	3	10	N	U	G	R	6.251	i	i																										
NG 3.1	3	11	N	U	G	R	NA	i	i																										
NG 3.1	3	12	N	U	G	R	18.17	i	i																										
NG 3.1	3	13	N	U	G	R	NA	i	i																										
NG 3.1	3	14	N	U	G	R	37.055	i	i																										
NG 3.1	3	15	N	U	G	R	NA	i	i																										
NG 3.1	3	16	N	U	G	R	82.402	i	i																										
NG 3.1	3	17	N	U	G	R	84.207	i	i																										
NG 3.1	3	18	N	U	G	R	NA 	5	i5																										
NG 3.1	3	19	N	U	G	R	97.236	5	as																										
NG 3.1	3	20	N	U	G	R	NA	5	as																										
NG 3.1	3	21	N	U	G	R	NA	5	as																										
NG 3.1	3	22	N	U	G	R	178.666	5	as																										
NG 3.1	3	23	N	U	G	R	NA	5	as																										
NG 3.1	3	24	N	U	G	R	232.972 (after switch)	5	as																										
NG 3.1	3	25	N	U	G	R	225.374	5	as																										
NG 3.1	3	26	N	U	G	R	NA	5	as																										
NG 3.1	3	27	N	U	G	R	243.7	5	as																										
NG 3.1	3	28	N	U	G	R	not	5	as																										
NG 3.1	3	P	N	U	G	R	197.766	P	P																										
NG 3.2	3	1	N	U	G	R	0.208	i	i																										
NG 3.2	3	2	N	U	G	R	0.372	i	i																										
NG 3.2	3	3	N	U	G	R	0.715	i	i																										
NG 3.2	3	4	N	U	G	R	1.347	i	i																										
NG 3.2	3	5	N	U	G	R	1.539	i	i																										
NG 3.2	3	6	N	U	G	R	2.038	i	i																										
NG 3.2	3	7	N	U	G	R	NA	i	i																										
NG 3.2	3	8	N	U	G	R	NA	i	i																										
NG 3.2	3	9	N	U	G	R	6.782	i	i																										
NG 3.2	3	10	N	U	G	R	NA	i	i																										
NG 3.2	3	11	N	U	G	R	25.22	i	i																										
NG 3.2	3	12	N	U	G	R	NA	i	i																										
NG 3.2	3	13	N	U	G	R	40.874	i	i																										
NG 3.2	3	14	N	U	G	R	NA	i	i																										
NG 3.2	3	15	N	U	G	R	113.406	i	i																										
NG 3.2	3	16	N	U	G	R	106.868	i	i																										
NG 3.2	3	17	N	U	G	R	NA 	5	i5																										
NG 3.2	3	18	N	U	G	R	157.14	5	as																										
NG 3.2	3	19	N	U	G	R	NA	5	as																										
NG 3.2	3	20	N	U	G	R	NA	5	as																										
NG 3.2	3	21	N	U	G	R	370.966	5	as																										
NG 3.2	3	22	N	U	G	R	NA	5	as																										
NG 3.2	3	23	N	U	G	R	NA	5	as																										
NG 3.2	3	P	N	U	G	R	289.143	P	P																										
NG 4.1	4	1	N	U	G	R	0.213	i	i																										
NG 4.1	4	2	N	U	G	R	NA	i	i																										
